,price,address,city,beds,baths,property_size
0,"$125,000", 1883 Reese Harmon Ridge Road,Rock WV 24747 ,4 beds ,2 baths ,
1,"$159,900", 332 Alonzo,Rock WV 24747 ,4 beds ,2 baths ,
2,"$125,000", 238 Menor Rd,Rock WV 24747 ,3 beds ,2 baths ,
3,"$85,000", 2037 Rich Creek Rd,Rock WV 24747 ,4 beds ,1 bath ,
4,"$85,000", 2037 Rich Creek Rd,Rock WV 24747 ,4 beds ,1 bath ,
